id,timestamp,temperature,humidity,light,soil_moisture
148,2025-11-07 15:46:57,21.97589874267578,75.32215118408203,133.33333333333334,100.0
149,2025-11-07 15:47:07,21.962547302246094,75.19683837890625,131.66666666666669,100.0
150,2025-11-07 15:47:17,21.98009490966797,75.1729965209961,131.25,100.0
151,2025-11-07 15:47:27,21.977806091308594,75.12550354003906,127.5,100.0
152,2025-11-07 15:47:37,22.006797790527344,75.15087127685547,126.25,100.0
153,2025-11-07 15:47:47,22.00145721435547,75.09298324584961,126.66666666666667,100.0
154,2025-11-07 15:47:57,22.014617919921875,75.00534057617188,125.0,100.0
155,2025-11-07 15:48:08,22.03350067138672,76.28288269042969,97.91666666666667,100.0
156,2025-11-07 15:48:18,22.052574157714844,75.81901550292969,76.66666666666667,100.0
157,2025-11-07 15:51:15,22.256851196289062,74.47547912597656,152.91666666666669,0.0
158,2025-11-07 15:51:25,22.249221801757812,74.34425354003906,149.58333333333334,0.0
159,2025-11-07 15:51:35,22.266006469726562,74.28913116455078,150.0,0.0
160,2025-11-07 15:51:45,22.301101684570312,74.25088882446289,150.0,0.0
161,2025-11-07 15:51:55,22.321510314941406,74.12881851196289,151.25,0.0
162,2025-11-07 15:52:05,22.334671020507812,74.01323318481445,150.41666666666669,0.0
163,2025-11-07 16:26:02,22.051620483398438,73.80514144897461,125.0,6.2
164,2025-11-07 16:26:12,22.02167510986328,73.81505966186523,125.0,6.2
165,2025-11-07 16:26:22,22.05486297607422,73.88601303100586,125.41666666666667,6.2
166,2025-11-07 16:26:32,22.066497802734375,73.82326126098633,125.83333333333334,6.2
167,2025-11-07 16:26:43,22.058486938476562,73.87981414794922,116.25,54.2
168,2025-11-07 16:26:53,22.046661376953125,73.80104064941406,124.16666666666667,55.00000000000001
169,2025-11-07 16:27:03,22.070693969726562,73.85244369506836,124.16666666666667,54.800000000000004
170,2025-11-07 16:27:13,22.07813262939453,73.85616302490234,126.25,55.00000000000001
171,2025-11-07 16:27:23,22.049331665039062,73.79999160766602,121.66666666666667,4.0
172,2025-11-07 16:27:33,22.070693969726562,73.86093139648438,61.25,3.8
173,2025-11-07 16:27:43,22.06859588623047,74.078369140625,85.83333333333334,-18.6
174,2025-11-07 16:27:53,22.08271026611328,73.96650314331055,132.91666666666669,-18.6
175,2025-11-07 16:28:03,22.076797485351562,73.8494873046875,81.66666666666667,-18.6
176,2025-11-07 16:28:14,22.095870971679688,73.7588882446289,126.66666666666667,-18.6
177,2025-11-07 16:28:24,22.08995819091797,73.72732162475586,132.91666666666669,-18.6
178,2025-11-07 16:28:34,22.103500366210938,73.72770309448242,133.33333333333334,-18.6
179,2025-11-07 16:28:44,22.079086303710938,73.71501922607422,131.66666666666669,-18.6
180,2025-11-07 16:28:54,22.07489013671875,73.81505966186523,127.91666666666667,-18.4
181,2025-11-07 16:29:04,22.067832946777344,73.77490997314453,129.58333333333334,-18.8
182,2025-11-07 16:29:14,22.05677032470703,73.82621765136719,132.08333333333334,-18.8
183,2025-11-07 16:29:24,22.07317352294922,73.75602722167969,133.33333333333334,-18.6
184,2025-11-07 16:29:34,22.060012817382812,73.7527847290039,133.33333333333334,-18.4
185,2025-11-07 16:29:44,22.05638885498047,73.72303009033203,134.16666666666669,-18.2
186,2025-11-07 16:29:55,22.061538696289062,73.7217903137207,132.91666666666669,-18.0
187,2025-11-07 16:30:05,22.067642211914062,73.66266250610352,134.16666666666669,-18.0
188,2025-11-07 16:30:15,22.039413452148438,73.70338439941406,134.16666666666669,-18.2
189,2025-11-07 16:30:25,22.06878662109375,73.73590469360352,122.5,-18.0
190,2025-11-07 16:30:35,22.045516967773438,73.66476058959961,124.16666666666667,-18.2
191,2025-11-07 16:30:45,22.077178955078125,73.7004280090332,131.66666666666669,-18.2
192,2025-11-07 16:30:55,22.051429748535156,73.67382049560547,130.83333333333334,-18.2
193,2025-11-07 16:31:05,22.031021118164062,73.70033264160156,133.75,-18.2
194,2025-11-07 16:31:15,22.04875946044922,73.7386703491211,133.75,-18.2
195,2025-11-07 16:31:26,22.04570770263672,73.69251251220703,133.75,-18.0
196,2025-11-07 16:31:36,22.04418182373047,73.73590469360352,133.75,-18.0
197,2025-11-07 16:31:46,22.063827514648438,73.81391525268555,133.75,-18.2
